author,description,name,state
 解甲蓝衣人,介绍:    华夏学生李汲的体内，忽然多了一个穿越系统，能往来穿梭于玄幻与现实之间。这个系统不断向前进化，从发布任务，赋予属性，直至偷盗诸天。偶尔还会搞怪，让他当一把反派。李汲利用两个世界资源的差异，在华夏，他成了神豪大佬；在异世，他扫平了四海八荒。有一天，他惊奇地发现，分别生于华夏和异世的两个女友，竟是同心异体的孪生姐妹。而这个神奇事件背后的真相却是：早已逝去的远古诸神，纷纷复活，意欲重新,百亿次穿越,连载
 苍然一色,介绍:    贪酒的蛇精，傲娇的仙君，糊涂的魔头，腹黑的皇子，命运之手拉扯着他们。静心等待着爱，忐忑不敢去爱，鲁莽错失所爱，放手爱而不得，爱的主旋律围绕着他们。尘封的往事，权利的战争，阴险的计谋，丑陋的人性，他们又该何去何从呢？,静听心中语，笑看别时花,连载
 君玖,介绍:    她原是叱咤风云、名震四方的魔域之主，却因一次蓄谋已久的围剿，最终画上了句号。当时隔一年，帝都某处别墅里，一双合上的双眼再度悄无声息地睁开之时，逝去的王者，终将重临于世势必手刃仇敌！她生在帝都风氏战神家族，身份尊贵，本该受到世人尊重却不幸遭人算计，终成众叛亲离、名声败坏彻底沦为帝国笑话！当两个八竿子打不着一块的人变成,魔妃归来：帝君请恭候,连载
 王半篇儿,介绍:    眼睛一闭一睁，死过一次的林楚音终于记起，自己是个穿越人士这个事儿来……林楚音生前是开过挂的：稀里糊涂被人买了去，从一个小奴隶一跃成为天下第一门派的掌门继任者，只用了四年，突破武圣，成为地表最强战力，完成了其他武修一辈子也做不到的事，功成名就，提前退休。呃，如果没有嫁给一个渣男，人生就更完美了。痴心错付，万箭穿身。若,神妃逆天：冷君霸宠狂傲妃,连载
 东城令,介绍:    “成功捣毁魔族间谍小组，奖励经验值10w技能点五千。”“升级技能新月箭，发现可串联技能是否串联。”“成功串联星武技无极雷刺、星月剑舞，获得复合星武技无极雷影。”“系统，能不加点么？我想认真修炼。”系统:“不，你不想！”,我有无数技能点,连载
 叶凡唐若雪,介绍:    窝囊废物的上门女婿叶飞，无意中得到太极经和生死石的传承，自此开始了不一样的人生，他医术救美，武道杀敌，不仅横扫他人的轻视和嘲笑，赢得娇妻的芳心，更是站到了这世界的巅峰，睥睨天下。,王婿叶凡,连载
 映丽桃花,介绍:    赵御睁开眼睛之后发现自己突然变成了一个襁褓中的婴儿，而且是一个霸主王朝的皇太孙，更加激动的是他脑海中还自带着一个刀塔远古遗迹系统。但是这居然是史上最难开启系统“远古遗迹系统未开启，开启条件如下二者完成其一。”“一，吸收两个陆地神仙境灵魂。”“二，登基称帝，在帝宫安放远古遗迹，系统全部功能将开启。”,史上最难开启系统,连载
 蓝色孽缘,介绍:    当暗杀组织的金牌杀手，九代单传的神医圣手之魂，附于东文国凤家经脉尽损的废物七小姐身上，世界会怎样变化？经脉尽损，废物？不要紧，一双玉手拨乱反正，从此修得逆天神功，成绝代神医，控天火，得灵珠，驭灵兽，炼仙丹，傲世苍穹，凤凌异世！腹黑轻狂，变态？不要紧，无论何时她都能站在世界的巅峰叱咤风云，无论何人，在她面前注定要卑躬,神医圣手：废柴七小姐,连载
 孤十壹,介绍:    她，生活在二十二世纪的吸血鬼亲王，因为一个小小的失算（被雷劈了）穿越成墨尔帝国康家的魔法废材八小姐。看着自己精致的小脸以及只有十岁的小身板，她望天叹气。十岁就十岁，起码她可以安稳地过日子，却不想麻烦从天而降。父母失踪后，大伯父欺负她年幼要吞掉她家的财产？不好意思，她要他们连本带息都吐出来。康家的魔法天才抱着新收的獠,国师追妻：绝世废材八小姐,连载
 引丹青,"介绍:    【男女双强双洁，爽文宠文，双双腹黑无极限,不喜慎入】她，是风云大陆天纵之才，铁血杀伐，凤飞九天，一出蓄谋已久的背叛，她葬身蛮荒古域尸骨无存。她，是南辰国武安侯凤家三小姐，天生废材，灵脉尽碎，玄气全无，被所谓的亲人欺凌至死。当她变成了她，凤眸骤睁,天生废材？呵呵！殊不知她体内的灵脉乃这风云大陆举世无双比神品还要好的绝",神妃在上：妖孽邪王盛世宠,连载
 沧月玄,介绍:    大道无仙，若有，我就是仙！一口黑棺落入南山下，棺椁盖子缓缓打开，一只手掌搭在了棺椁的缘上。“我，回来了。”,从仙路尽头归来,连载
 许今朝,介绍:    上一世的原小溪是一个笨姑娘。她与丈夫离心，被堂叔一家骗得团团转，最终公司破产，负债累累。这一世的原小溪承认自己是一个笨姑娘。她知道自己脑子慢，很多话入了耳朵，总要隔一会儿才能反应过来。不过既然重来一世，作为守业者的她，再也不愿意让家业像上一世那样全部败光。很多人都说，原小溪这人脑子不好使，命却挺好的。原小溪不过才二,重生之异能憨妻,连载
 华夜,介绍:    【一对一，宠文，爽文】她是神秘的怪盗神偷，人称幻影黑绝。意外重生，她变成了异世大陆慕容家不受待见的三小姐。身为幻影黑绝的慕容夕夜表示，就算重生的姿势不对，还是可以教你如何谈人生和谈历史。不能修炼，没有灵根？怕什么，她有绝世医术，活死人肉白骨。爹不疼，侍妾算计，渣姐陷害？通通一巴掌还回去，让你看看什么叫职业打脸。容颜,神偷医妃：邪王傲娇宠,连载
 琼楼阁宇,介绍:    【爽文护短，女扮男装，升级修炼，打脸虐渣】一手医道贯古今，逆转功法入毒道。人前云步摇是医道圣手，人后她却是毒神通天炼丹药、画符篆、抓萌宠，她无所不能。抢资源、夺密藏、挖仙药，她无所不及。万年之前，云步摇从仙界下凡，孤身一人创立门派，只为寻轮回后的苏尘。门派内没人知道云步摇的身份，新任掌门爱上她，才知道她是老祖。被人,废柴师姐一万岁,连载
 诺翔飞,介绍:    “滚开！登徒子！”某女恶狠狠吼着。某邪王欺身而上，将她圈抱在怀中，霸道的道:“女人，从今以后，你就是本王的降温神药。”她是尊贵的冰雪女皇，却被亲妹害死魂穿麟云大陆，成为轩辕族丹田被冰封不能修炼的废物。丹田被冰封，不能修炼，身染寒疾？没关系，她可以修炼冰族绝世功法，洗髓伐筋，固体，练就逆天神体。凌家小天才嫉妒她能成为,逆天神妃：妖孽邪王缠不休,连载
 古月清风风,介绍:    【正经简介】浮生一梦的楼主银灵子，据说是个怪人，长得比女人还漂亮，却一天到晚笼着一身黑衣。银灵子：老娘本来就是女人，有颜任性，不服？进军队，闯地府，踏魂殿，所向披靡，一往无前。~冥王府的阎罗神荼，据说温润如玉，对谁都是言笑晏晏，却唯独视女人为猛虎。神荼：看不得本尊撩“男人”么，呵呵，要不要来地府喝杯茶？掌魑魅魍魉，,冥王有令：夫人速速回,连载
 琉璃陌,介绍:    传言：凤家太女凤九歌温婉贤淑，知书达理，蕙质兰心，秀外慧中，生的绝世无双，琴棋书画更是样样精通，洛都第一才女，是整个洛都人人想娶的女子。某女狷狂一笑。放火烧楼！女戒沉湖！！！休夫挑衅！！！！一手紫雷，杀人越货！！！！！众人道：传言，皆不可信。当狷狂嚣张跃上那张绝世脸庞，她凤九歌紫衣长裙，手掌紫雷，成为三等国唯一觉醒,邪尊霸宠：魔妃太嚣张,连载
 MS芙子,介绍:    女神医穿越成废材小萝莉，杠上可盐可甜最强王者。,天命凰谋,连载
 君安安呀,介绍:    她是一代神尊南无烟，明媚疏朗；他是一界魔君柳明兮，杀伐决断，却对她温柔似水。他是一位上神翎霄，轻佻张扬；他是一族之首夜澜，深沉淡漠，却对他流连忘放。一代恩怨，两段情仇，三世痴缠。他为天下而负她，又放弃江山而护她。只为她不再舍弃自身而渡苍生。他因上代恩怨而亡，他为救他掀起六界大战。只为心上人重回世间。堕神之战后，南无,魔君独宠：神尊甜妻别想逃,连载
 即墨幽莲,介绍:    因历劫而来到人族的护域圣将芸若欢，素手合掌，十指成网，在找寻自我的同时掀起了尘封在古老王国的秘史。当一切真相公之于众之时，却意外的走进了幕后黑手真正布置的一盘大局！她与昱宸，还有她的伙伴该如何在这暗波涌集的魂灵国度打造出属于自己的立身之地？无意中得来的祭古鞭犹如海上的指南针，指引着他们往更远处前行，他们即将面临的是,缈州芸妃传,连载
