author,description,name,state
 会狼叫的猪,介绍:    这个星球被海洋覆盖。　　人类悬空而居，每当少年礼时，所有的孩子将进行垂钓测试，根骨奇佳者，有可能成为伟大的钓师。　　在无尽海域。　　每一种生命都被赋予神圣的使命，这里有飞天遁地之鱼，有受尽天地精华之龟，有口吞天地之鲸……还有无数垂钓之人。　　垂钓，是一门技术。　　这里流传着一句古话，如果你不是在垂钓，就是在去垂钓的路上。　　大群：589849852 休闲群：633504307 vip：7980,垂钓之神,连载
 天海山,介绍:    外科医生一朝穿越，竟来到一个女强男弱、女多男少的异界，成为许家少爷许扬。　　灵力强悍的女人们能移山填海，摘星蔽日，以实力征服这个世界。　　我许扬靠软饭……咳咳，靠软实力征服世界！（书友群：1036217580，欢迎您的加入！）,娘子请住手,连载
 真想喝奶茶,介绍:    系统：“恭喜宿主穿越斗罗大陆，宿主是否抽取动漫角色？”洛天：“……我想回家，放我回家，我要回家找爸妈。”系统：“角色抽取中……恭喜宿主抽中角色叶修，以为宿主发放叶修人物样貌x 1武魂却邪x 1武魂千机伞x 1”洛天：“……能听我说话吗？”,斗罗之我的武魂是千机伞,连载
 阿彦如玉,介绍:    忘川河畔十里花海中的小精灵灵曦，无忧无虑的生活了数千年，却一朝被落在她花海中的“五彩猫”惊了，从此一吻定情……,灵曦缘,连载
 键盘上的懒猫,介绍:    艾伯特从没什么大志向，一直认为自己是一条咸鱼，重生还开启面板金手指，这是妥妥的要成为人生赢家。正当艾伯特计划做一条有目标的咸鱼时，猫头鹰送来了霍格沃茨的邀请函，他这才发现原来自己是穿越到哈利波特的小说世界里。现在，艾伯特正考虑该怎么在魔法界里做条有梦想的咸鱼。群：181770793,哈利波特之炼金术师,连载
 渊若陵,介绍:    作为一个现代人穿越到了炼金术师的世界里绑定白给系统，开始白给炼金之路！炼金召唤：【您已召唤贝吉塔】【您已召唤钢铁侠】炼金机械：【您已制造劳力士】【您已制造兰博基尼】炼金造物：【您已创造炼金核心】【您已创造振金盾牌】炼金是不可能炼金的，只能享受白给！新书，期待你的到来！,诸天白给炼金师,连载
 红叶知玄,介绍:    火影世界开始的新故事，从火葬火影开始……,木叶之影流,连载
 我旷照,介绍:    北冥之鱼，翼展千里。衔烛之龙，开物天工。九阳观道一念空，天外云墨现儒踪。佛光万象照人世，千古铭锋唯剑宗！当人心的污秽开始污染大地，当黎明前最后的曙光被黑暗吞噬。诸天万界，唯剑者一人独行。故事，便从这风起云涌的时代中开始。s：无系统、不套路，最纯粹的东方玄幻，欢迎各位资深书友前来品鉴！,纵剑人间,连载
 追风千年,介绍:    生活本就艰难，小说何必复杂。,罗马全面战争之异世帝国,连载
 绕指微尘,介绍:    一颗神秘的陨石把徐凡带到了纷纷扰扰的元炁大陆，等待他的是如何的人生，他还能回到归处吗，为此他很迷茫。-----希望不足之处还请大家海涵,我的超凡商铺,连载
 笑畏余生,介绍:    陈长生觉得自己现在这个世界大有问题；第一：在这个世界，以后再也不用读书了，因为现在，读书已经被一个叫修仙的东西取代；至于什么是修仙？咱也不敢问，咱也不知道啊……第二：他莫名其妙被一个叫做诸天聊天群的金手指绑定。看着群里熟悉的各位诸天大佬们，陈长生陷入了沉思……第三：通过研究，陈长生发现，他不仅可以让群里的大佬们来到自己世界，自己还能前往大佬们的世界；琦玉、灭霸、萧炎、唐昊、雷神、八云紫、红发香克斯等等……我秃了，也变强了！注：实力以本书为主，不喜勿喷。,诸天大佬聊天室,连载
 云天空,介绍:    强者遇袭，重返少年时代，成为当年弱小的废物少主。前世的仇人，今生，绝不会放过！前世的遗憾，今生，一定要弥补！待到灵剑长啸之时，天地三界，我为至尊！若有不从者，一剑，杀之！,灵剑尊,连载
 净无痕,介绍:    东方神州，有人皇立道统，有圣贤宗门传道，有诸侯雄踞一方王国，诸强林立，神州动乱千万载，执此之时，一代天骄叶青帝及东凰大帝横空出世，斩人皇，驭圣贤，诸侯臣服，东方神州一统！,伏天氏,连载
 疯狂的橘猫,介绍:    萧韩穿越到了异界！这里有大夏府、大明府、大唐府......       穿越过来之后，萧韩发现自己有一个经验值系统！你要跟我比拳？先等等，我先把拳法升到满级！你要跟我比剑？再等等，让我把剑法升到满级！你们要车轮战?  系统，再来2000经验的元气！       萧韩：才10个人？不够！我要打100个！......ps:看过全球高武和万族之劫之后，我像是发现了新世界的大门。我感觉自,魔族之劫,连载
 楚天骄林诗瑶,介绍:    在战场上浴血奋战了多年，楚天骄终于从一个碌碌无为的小兵，跃居为众人顶礼膜拜的一代战神，可是男人并没有因此而骄傲自大，因为他知道，自己前方的道路依旧漫长，重返都市，他还背负着重大责任，且看战神楚天骄将会在都市中掀起怎样的一番腥风血雨。,新绝代神龙,连载
 辰东,介绍:    在破败中崛起，在寂灭中复苏。,圣墟,连载
 人生逍遥醉,介绍:    天道跟前蝼蚁命！生死存亡靠自身！世间百态邪恶心！为情为爱为自身！不问世事皆如意！不问苍生不愧心！热血燃烧激情泪！傲世沙场百万师！,无上界域之邪主狂尊,连载
 风行水云间,介绍:    曾经叱咤风云冷血无情的千岁大人，一朝沦为小叫花的精神导师。不行，她请求换人！她还有远大前程，她的目标是星辰大海！但在那之前——千岁：咦，小鱼干好香啊，那个卤蹄膀也很靓！卑微的两脚兽，快去弄来给我吃。小叫花：好嘞。亲，还有顺毛服务要吗？马杀鸡服务要吗？千岁：这个嘛，那、那就先来个全套吧（吃饱喝足就蹬了他，不对，还有晚饭要解决。那么明天吧，明天一定可以的！）,大魔王娇养指南,连载
 楚天骄林诗瑶,介绍:    在战场上浴血奋战了多年，楚天骄终于从一个碌碌无为的小兵，跃居为众人顶礼膜拜的一代战神，可是男人并没有因此而骄傲自大，因为他知道，自己前方的道路依旧漫长，重返都市，他还背负着重大责任，且看战神楚天骄将会在都市中掀起怎样的一番腥风血雨。,新绝代神龙楚天骄,连载
 逆风前进的伱,介绍:    星域大陆自百万年前由上域道和真人以一己之力镇压异魔，自此星域大陆分为东南西北中五域之地，分别由天龙帝国、朱离帝国、虎溪帝国、云玄帝国、和羽麟帝国五大帝国统治。在这个武力为尊的大陆，以武力修炼和精神力修炼为主，每一层都有级别限制。百万年后异魔又起，而出生在云玄帝国的一群少年相互扶持，肝胆相照，一路走来历经艰难困苦，神挡杀神，佛挡杀佛，以一腔热血保卫人族，一场少年奋斗拼杀的帷幕慢慢拉开……,武主星域,连载
 新闻工作者,介绍:,战气凌霄,连载
